"episode","Provider","hrr","maadvantage","avgagehrr","avghcchrr","pctmalehrr","pctblackhrr","pcthispanichrr","pctmdcaidhrr","pctbenesusip","pctbenesusnf","pctbenesuhh","pctbenesuop","pctbenesuasc","Acute Care Hospital Beds per 1,000 Residents (2012)","Primary Care Physicians per 100,000 Residents (2011)","Total Specialists per 100,000 Residents (2011)","Rank for Variable dshpct","Rank for Variable cmi","Rank for Variable mdadjadmit","qstarrating","urbanlocation","joinnetwork","jchaoaccredited","qieffort","reform","mdaffiliation","ownershipstatus","hospitalbedsize"
15127,490033,435,16.43,75,0.89,45.38,3.25,0.84,10.6,15.8,4.5,7.39,65.43,5.69,1.800453023068,70.646105402,119.83922344,1,0,0,3,1,0,1,0,0,1,2,2
16438,490037,430,19.06,75,0.96,43.2,20.51,1.81,6.61,16.58,5.56,10.23,74.97,7.3,1.968719886747,76.762850519,144.22259192,2,0,0,4,0,0,1,1,1,1,2,2
15771,490038,376,45.94,75,1.01,44.42,0.95,0.24,16.05,18.16,4.7,11.74,63.59,12.49,2.336278630683,81.80876443,119.64186473,0,0,0,3,0,1,1,1,0,1,2,2
19342,490040,426,17.09,75,0.83,43.69,7.16,4.64,6.72,13.51,3.66,8.05,50.56,8.16,1.179143844158,78.596858873,140.05216711,1,2,1,3,1,1,1,1,1,1,2,2
20270,490041,429,19.19,75,0.9,43.63,19.26,1.01,4.06,15.34,4.53,9.21,76.02,2.87,1.283341157905,83.059913363,145.36188537,1,3,1,3,1,1,1,1,1,1,2,2
18787,490042,432,23.2,75,0.92,43.7,4.91,0.31,8.39,16.67,5.7,8.9,67.91,6.65,2.463942866481,69.006788103,127.85993694,1,1,1,4,1,1,1,1,0,1,2,2
18142,490043,426,17.09,75,0.83,43.69,7.16,4.64,6.72,13.51,3.66,8.05,50.56,8.16,1.179143844158,78.596858873,140.05216711,0,1,0,3,1,1,1,1,1,2,2,2
18404,490044,430,19.06,75,0.96,43.2,20.51,1.81,6.61,16.58,5.56,10.23,74.97,7.3,1.968719886747,76.762850519,144.22259192,2,1,3,4,1,1,0,1,1,2,2,2
19715,490045,426,17.09,75,0.83,43.69,7.16,4.64,6.72,13.51,3.66,8.05,50.56,8.16,1.179143844158,78.596858873,140.05216711,2,1,0,2,1,0,1,1,1,1,2,2
19563,490046,430,19.06,75,0.96,43.2,20.51,1.81,6.61,16.58,5.56,10.23,74.97,7.3,1.968719886747,76.762850519,144.22259192,1,2,3,4,1,1,1,1,1,3,2,2
19432,490048,432,23.2,75,0.92,43.7,4.91,0.31,8.39,16.67,5.7,8.9,67.91,6.65,2.463942866481,69.006788103,127.85993694,0,1,1,3,1,,0,1,,1,2,3
20326,490050,426,17.09,75,0.83,43.69,7.16,4.64,6.72,13.51,3.66,8.05,50.56,8.16,1.179143844158,78.596858873,140.05216711,0,3,0,4,1,0,1,1,1,2,2,2
20339,490052,429,19.19,75,0.9,43.63,19.26,1.01,4.06,15.34,4.53,9.21,76.02,2.87,1.283341157905,83.059913363,145.36188537,2,3,0,3,1,0,1,1,1,1,2,3
16442,490053,376,45.94,75,1.01,44.42,0.95,0.24,16.05,18.16,4.7,11.74,63.59,12.49,2.336278630683,81.80876443,119.64186473,2,0,0,3,1,1,1,1,0,1,2,2
